question,answer
"What is the UNII of Axitinib, a small-molecule tyrosine kinase inhibitor developed by Pfizer?",C9LVQ0YUXG
The Samsung Galaxy A22 4G comes with what GPU?,Mali G52 MC2
Who was awarded the International Prize in Statistics in the year 2019?,Bradley Efron
What is the first name of the individual who won the Tetrahedron Prize for Creativity in Organic Chemistry or Bioorganic and Medicinal Chemistry in 1996?,Samuel
What is the surname of the individual who won the Green Chemistry Award in 2016?,Anastas
What month and year did Sony release Beta Hi-Fi?,June 1983
What is the engine cc of the Honda Juno M85 (1962)?,169 cc
Who won the Benjamin Franklin Medal for Computer and Cognitive Science in 2004?,Richard M. Karp
In what year did the Japanese mathematician Kiyosi Ito receive the Fujiwara Prize?,1985
What is the full name of the first person to be awarded a Ph.D. in Mathematics from the Universidad Nacional Autónoma de México?,Roberto Vázquez García
In which month and year was the 64-bit version of Raspberry Pi OS released?,February 2022
"In a 1988 paper, which author defined Mammalia phylogenetically as the crown group of mammals—the clade consisting of the most recent common ancestor of living monotremes and therian mammals?",Timothy Rowe
"What is the Thermal Design Power, in watts, of the Intel® Core™ i7-9700E Processor that has 8 total cores?",65W
What year was L'Hypothèse de l'Atome Primitif by Georges Lemaître translated into English?,1950
"In which month and year did WhatsApp start rolling out support for third-party animated stickers, initially in Iran, Brazil, and Indonesia?",March 2021
Which scientist received the Penrose Medal after the year Hollis Dow Hedberg received his?,John Rodgers
What was the name of the first calculator Toshiba marketed?,BC-1001
Who was the President of the World Federation of Engineering Organizations in 2002?,José Medem
Who was awarded the ICTP Ramanujan Prize in 2013?,Ye Tian
What was the name of the observatory in which 1994 Shane was discovered in 1961?,Goethe Link.
"By 1913, how many stars could astronomer Annie Jump Cannon classify per hour?",200
Who developed Japan’s first arc lamp?,Ichisuke Fujioka
In what city did the mathematician Iossif Ostrovskii pass away?,Ankara
"On what day, month, and year did the YouTube channel Marques Brownlee reach 10 million subscribers?","December 18, 2019"
"On what day, month, and year was the radio station of Westwood, Kentucky, assigned the WWQB call letters by the Federal Communications Commission for the first time?","March 28, 2011."
Who won the Eddington Medal in 1962?,André Lallemand
What is the first name and last name of the person who received the ADA Kelly West Award for Outstanding Achievement in Epidemiology in recognition of her significant contributions to the field of diabetes epidemiology in June 2018?,Catherine C. Cowie
Which scientist was the recipient of the John Tuzo Wilson Medal in 2011?,Fred Cook
What were the month and year when Telegram introduced animated emoji?,August 2019
What was the seat height in millimeters of the Honda CLR?,815
"In 1863, George Bentham renamed *Cyanothamnus ramosus* to what binomial name?",Boronia ramosa
At what event in 2004 did David Hanson present K-Bot?,American Association for the Advancement of Science (AAAS) conference.
"What is the developmental code for Firazorexton, an orally active, brain-permeable orexin type 2 receptor agonist?", TAK-994
What was the crater on Mercury named after Kurt Vonnegut referred to in scientific literature prior to its naming?,e5
"What is the dry weight, in pounds, of the Honda RC143 (1960)?",205
What is the boiling point of the element cerium in Fahrenheit?,"6,229 °F"
To which academic society was computer scientist Sarita Vikram Adve elected in 2020?,The American Academy of Arts and Sciences.
In which month of 1992 was the Foton 8 spacecraft launched?,October
What year did Reinhold Rudenberg retire?,1952
Who won the Benjamin Franklin Medal for Computer and Cognitive Science in 2013?,William Labov
"Specify the day, month, and year Baidu announced that it would partner with Qualcomm to offer free cloud storage to Android users with Snapdragon processors.",18 November 2012
"What was the maximum speed of the K-class blimp (1938), the K-14, in knots?",68
What GPU does the Lumia 550 have?,Qualcomm Adreno 304.
What is the surname of the individual who was awarded the Francis P. Garvan–John M. Olin Medal in 1947?,Sherrill
In what year did Charles Frederick Koelsch receive the American Chemical Society Award in Pure Chemistry?,1934
"What is the surname of the individual who won the Faraday Medal, awarded by the Electrochemistry Group of the Royal Society of Chemistry in 1987?",Gerischer
Who was the first person to build a Gregorian reflecting telescope?,Robert Hooke
Who was the first recipient of the Knuth Prize?,Andrew Yao
In what year was the praying mantis species Eremiaphila arabica described by Saussure?,1871
What is the NASA Space Science Data Coordinated Archive (NSSDCA) ID of the spacecraft EURECA-1?,1992-049B
"What are the first names of the parents of Peter Kirstein, the British computer scientist born in 1933 who helped create the Internet?",Walter and Eleanor
Who received the IEEE Frank Rosenblatt Award in 2013?,Terrence Sejnowski
What year was the Hellschreiber invented?,1925
"What is the rate of climb, in feet per minute, of the Agusta A.106 rotorcraft?","1,220 ft/min"
What year was Albert-László Barabási awarded the FEBS Anniversary Prize for Systems Biology?,2005
"What is the first author's full name in the scientific article ""The World Federation of ADHD International Consensus Statement: 208 Evidence-Based Conclusions About the Disorder,"" published in the 128th edition of Neuroscience and Biobehavioral Reviews in 2021?",Stephen V. Faraone
"On what day, month, and year was the 435 Ella asteroid discovered?","September 11, 1898"
"What is the ChemSpider ID of azithromycin, an antibiotic medicine?",10482163
Who was awarded The Oceanography Society's Walter Munk Medal in 2015?,Carl Wunsch
