question,answer
"What's the name of the women's liberal arts college in Cambridge, Massachusetts?",Radcliffe College
Which district in Kashmir was originally known as Panwangam?,Pulwama
"In which year did Askham Richard, the village in the North of England, first become a conservation area?",1975
What are the GPS coordinates of Malawi?,"13° 15' 4.38"" S, 34° 18' 5.50"" E."
"Before 2013, what was the municipal division of Gusevsky District in Kaliningrad Oblast incorporated as?",Gusevsky Municipal District
"In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1800
What is the length in meters of Abdullah Bridge in Srinagar?,390 metres
"What year was the municipality of San Francisco, Antioquia, Colombia, founded?",1830
"What is the forest cover area of Tamil Nadu in square kilometers, according to the India State of Forest Report 2019?","26,364.02"
How many houses did the village of Bure Nangal in Batala have according to the 2011 Census of India?,211
"What year was the municipality of Belmira, Antioquia, Colombia, founded?",1757
"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng
"What is Harees, a famous dish of Armenia and the Arabian Peninsula, called in Zanzibar?", boko boko
"What year was the municipality of Boyacá, Boyacá, Colombia, founded?",1537
"What month, day, and year did Phase 2 of Kunming Metro's Line 6 open?",23 September 2020
"On which day, month, and year was Dolmar-Salzbrücke formed as a Verwaltungsgemeinschaft?",1 January 2012 
What were the population counts for the two municipalities of Mitrovica according to the 2011 census?,"97,686"
What is the distance (in km) between the city of Udhampur and the Krimchi Temples in Jammu?,12
"Which peninsular plateau of India extends 900 km, with many peaks rising above 1,000 m?",Satpura Range
"What year was the municipality of Carolina del Príncipe, Antioquia, Colombia, founded?",1787
"What month, day, and year was Ancy-Dornot established?",1 January 2016
"In which year was the town of Babanango, in the KwaZulu-Natal province of South Africa, founded?",1904
"As of the 2020 Census, what was the population of Wheatland, Iowa?",775
"Which bridge in Srinagar, Kashmir, is also known as Alamgir Bridge?",Budshah Bridge
"According to the 2021 World Bank data, which country has the largest renewable freshwater resources per capita?",Iceland
Which specific ocean was the asteroid 224 Oceana named after?,Pacific Ocean
What is the topographic isolation of Pentagon Mountain in Montana in kilometers?,17.48 km
"In what year was the Chinese survey conducted that obtained the figure of 29,029.24 feet (8,848.11 meters) for Mount Everest's height?",1975
"According to the United States Census Bureau, what is the total area of Weston, Ohio, in square miles?",1.13
"What year was the municipality of Támesis, Antioquia, Colombia, founded?",1858
"Which city in Nepal is known as the ""City of Nine Hills?""",Nuwakot
"What month, day, and year did Kunming Metro Line 5 start running?","June 29th, 2022"
"As of the latest official population estimate in 2015 for the town of Szentes in southeastern Hungary, what is the population density in square kilometers?",79/km2 
"Who founded the municipality of La Uvita, Boyacá, Colombia?",Vicente Ferrer del Río de Loza
Which was the second largest republic in the Soviet Union?,Kazakh Soviet Socialist Republic
What is the height of Vickerman Hill in New York in feet?,"1,142 feet"
"What was the total area in square kilometers of Patiala and East Punjab States Union (PEPSU), a state of India uniting eight princely states between 1948 and 1956?","26,208"
On the banks of which river in Venezuela was the mission where botanist Pehr Löfling spent his final hours?,Caroní
"As of 2011, what was the male population of Chitwan District?","279,087"
Which is the largest saltwater lake in India?,Chilika Lake
"What is the Regional Transport Office (RTO) code for the Kolasib location in Mizoram, India?",MZ-05
"What year was the municipality of San José de la Montaña, Antioquia, Colombia, founded?",1916
"What town in the Southwest region of Western Australia, located 212 kilometers south of Perth and midway between Bunbury and Busselt, was originally inhabited by the Wardandi Noongar people?",Capel
"What year was the municipality of Guatapé, Antioquia, Colombia, founded?",1811
