question,answer
"According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",Poet Henrich Heine.
In which year did Melbourne's Monash Gallery of Art (MGA) rebrand and become the Museum of Australian Photography (MAPh)?,2023
What signature piece of the MOBA did Scott Wilson discover on the curb between two trash cans?,Lucy in the Field with Flowers
"In 1810, François Aimé Louis Dumoulin published a collection of how many engravings themed on the journey of ""Robinson Crusoe""?",150
"On what day, month, and year was Algerian artist Mohammed Racim born?","June 24th, 1896."
"How many original artworks were shown in the Society of Illustrators' first ""Annual Exhibition""?",350
In what year did Etta Cone last visit Europe?,1938
"From which dealer's shop did the Florentine authorities buy the ""Pitti Tondo"" in 1823?",Fedele Acciai
What is the name of the statue that Rosemarie Trockel made for the city of Frankfurt in 1994?,Frankfurter Engel
"Which nobleman did Caravaggio beat on November 28, 1600?",Girolamo Stampa da Montepulciano
Which Venetian artist painted the portrait of Maria Theresia Walburga Amalia Christina in 1730?,Rosalba Carriera
In which year was production started for the Crayola color with hexadecimal code #D9E650?,1926
Which architects designed the Abasto?,"José Luis Delpini, Viktor Sulčič and Raúl Bes"
How old was Kara Walker when she first received the MacArthur Fellowship?,28 years old.
In what city did Marina Abramović perform Rhythm 4 (1974)?,Milan
Which university gave El Anatsui an honorary doctorate in 2016?,Harvard University
"What day, month, and year did Salvador Dalí's mother pass away?",Salvador Dali's mother died on 6 February 1921.
What was the first and last name of the third director of the Metropolitan Museum of Art?,Edward Robinson
What year did Jasper Johns commission Richard Serra to make a splash piece?,1969
What was the name of the other collection released by Undercover in 2016 alongside 'The Greatest'?,Instant Calm
Who was the architect of Leamington who designed the church of St. John the Baptist that was built between 1877 and 1878?,John Cundall
What was the name of Helmut Lang's solo exhibition in Vienna in 2017?,Various Conditions
For how many days was Frida Kahlo's first solo exhibit held?,15
What prize was El Anatsui awarded in 1998 in Osaka?,Bronze Prize
What year did the Victoria and Albert Museum buy the small vacant triangle of land opposite its main entrance to ensure that the view from Thurloe Square could never be obscured by new buildings?,1863
How many egg-shaped layers of float glass is William Cochran's sculpture *Pillar of Fire* made of?,370
What is the name of the group exhibition that Helmut Lang participated in during 2017 in Dublin?,Wormwood
"In what year did Claribel and Etta Cone acquire Henri Matisse's ""Blue Nude"" at the sale of John Quinn’s collection in Paris?",1926.
What prize did Jun Takahashi win in 1997?,The New Face Prize
During which years did William Butts Ittner serve as the president of the Architectural League of America?,1903 to 1904
"Who sketched the ""Taddei Tondo"" following its arrival at the Royal Academy and published a letter in the Athenaeum of 3 July 1830 praising how it was lit?",John Constable
Who did the musical composition for the play Helen as presented in the 2022 Athens Epidaurus Festival?,Angelos Triantafyllou
Julie Mehretu was awarded the Barnett and Annalee Newman Award for the first time in what year?,2013
In which year was Srinagar declared a UNESCO Creative City?,2021
How many of his early oil portraits did English sculptor Robert Adams exhibit in the Northampton Public Library in April 1946?,14
What is the name of the seminal film that Lygia Pape made in 1975?,Eat Me
"What year did Giulio Carlo Argan, the Italian art historian, publish a manual of art for high schools?",1938
What are the names of the three notable archaeological sites where Igbo-Ukwu art was discovered?,"Igbo Isaiah, Igbo Richard, and Igbo Jonah"
