metadata,question,answer
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Maqbool_Bhat#Political_career', 'https://en.wikipedia.org/wiki/Azad_Kashmir_Plebiscite_Front', 'https://www.ipf.org.in/Encyc/2021/4/5/Rise-and-fall-of-JKLF.amp.html']}",In what month and year was the Azad Kashmir Plebiscite Front formed in Muzaffarabad?,April 1965
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['Registered On:\n1996-08-14', 'https://www.whois.com/whois/hindustantimes.com', 'https://trak.in/tags/business/2007/07/26/top-50-web10-web-sites-of-india/']}","On which day, month, and year was the domain ""hindustantimes.com"" registered?","August 14, 1996"
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/3412_Kafka#:~:text=It%20was%20discovered%20on%2010%20January%201983', 'https://en.wikipedia.org/wiki/3412_Kafka#:~:text=3412%20Kafka%2C%20provisional%20designation%201983%20AU2%2C%20is%20an%20asteroid%20from%20the%20inner%20regions%20of%20the%20asteroid%20belt%2C%20approximately%206%20kilometers%20in%20diameter.%20It%20was%20discovered%20on%2010%20January%201983%2C%20by%20American%20astronomers%20Randolph%20Kirk%20and%20Donald%20Rudy%20at%20Palomar%20Observatory%20in%20California%2C%20United%20States.', 'https://www.wikiwand.com/en/3412_Kafka#cite_note-MPC-Kafka-5:~:text=It%20was%20discovered%20on%2010%20January%201983%2C%20by%20American%20astronomers%20Randolph%20Kirk%20and%20Donald%20Rudy%20at%20Palomar%20Observatory%20in%20California%2C%20United%20States.']}","On what day, month, and year was 3412 Kafka, an asteroid from the inner regions of the asteroid belt, discovered?",10 January 1983
"{'topic': 'Other', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/W._V._Grant#Tax_evasion', 'https://en.wikipedia.org/wiki/W._V._Grant', 'https://www.dallasobserver.com/news/the-best-of-dallas-worst-televangelists-10367465', 'https://preservationdallas.org/location/first-church-of-christ-scientist-eagles-nest-1508-cadiz-st-downtown']}","In August 2012, what was the address of the First Church of Christ, Scientist that W. V. Grant purchased?","1508 Cadiz Street, Dallas, TX, 75201"
"{'topic': 'Other', 'answer_type': 'Number', 'urls': ['https://mathshistory.st-andrews.ac.uk/Biographies/Sadosky/', 'https://mathshistory.st-andrews.ac.uk/Biographies/Sadosky/#:~:text=In%201955%2C%20at%20the%20age,physics%20as%20her%20major%20subject.', 'https://en.wikipedia.org/wiki/Cora_Sadosky', 'https://bookofproofs.github.io/history/20th-century/sadosky.html']}",At what age (in years) did Cora Sadosky enter the School of Science at the University of Buenos Aires?,15
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/List_of_EGOT_winners', 'https://www.goldderby.com/gallery/egot-emmy-grammy-oscar-tony/richard-rodgers-70th-birthday-party-new-york-26-mar-1972/', 'https://en.wikipedia.org/wiki/List_of_EGOT_winners#EGOT_winners', 'https://www.cbr.com/egot-winner-chronological-order/']}","Who was the tenth EGOT (Emmy, Grammy, Oscar, and Tony Awards) winner?",Whoopi Goldberg
"{'topic': 'Video games', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Trials_of_Mana', 'https://en.wikipedia.org/wiki/Trials_of_Mana', 'https://www.mobygames.com/person/631609/koichi-ishii/credits/', 'https://mana.fandom.com/wiki/Koichi_Ishii']}",Who was the lead designer of Seiken Densetsu 3?,Koichi Ishii
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://www.hacettepe.edu.tr/about/history', 'https://www.hacettepe.edu.tr/about/history', 'https://tr.wikipedia.org/wiki/Tun%C3%A7alp_%C3%96zgen']}",Who was the rector of Hacettepe University in 2006?,Prof. Dr. Tunçalp ÖZGEN
"{'topic': 'Other', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Amusement_Today#Golden_Ticket_Awards', 'https://goldenticketawards.com/2022-gta-winners/', 'https://www.coaster101.com/2022/09/10/list-of-2022-golden-ticket-award-winners/#google_vignette', 'https://amusementtoday.com/issues/2022/GTA2022/']}","According to the Golden Ticket Awards, which theme park was voted number one for having the best food in 2022?",Knoebels Amusement Resort
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Andrew_Tate\nhttps://www.sportskeeda.com/pop-culture/andrew-tate-kickboxing-record-how-many-bouts-has-he-won#:~:text=Andrew%20Tate%20had%20a%20remarkable,eyesight%20at%20a%20young%20age.', 'https://sportsbrief.com/boxing/39543-what-andrew-tates-kickboxing-record-a-closer-professional-kickboxer/', 'https://www.sportingnews.com/au/kickboxing/news/andrew-tate-mma-kickboxing-record-controversies/u50waalc9cfz7krjg9wnyb7p', 'https://www.thesun.co.uk/sport/20394108/andrew-tates-kickboxing-record/']}",How many fight wins did the British-American kickboxer Andrew Tate have prior to retiring?,76
